city,cityAra,lat,lng,country,iso2,iso3
Tianjin,تيانجين,39.13,117.2,China,CN,CHN
Chennai,تشيناي,13.09,80.28,India,IN,IND
Taipei,تايبيه,25.0358,121.5683,Taiwan,TW,TWN
Bengalūru,بنغالورو,12.97,77.56,India,IN,IND
Bangkok,بانكوك,13.75,100.5166,Thailand,TH,THA
Lahore,لاهور,31.56,74.35,Pakistan,PK,PAK
Chongqing,تشونغتشينغ,29.565,106.595,China,CN,CHN
Miami,ميامي,25.7839,-80.2102,United States,US,USA
Hyderabad,حيدر أباد,17.4,78.48,India,IN,IND
Dallas,دالاس,32.7936,-96.7662,United States,US,USA
Santiago,سانتياغو,-33.45,-70.667,Chile,CL,CHL
Philadelphia,فيلادلفيا,40.0077,-75.1339,United States,US,USA
Belo Horizonte,بيلو هوريزونتي,-19.915,-43.915,Brazil,BR,BRA
Madrid,مدريد,40.4,-3.6834,Spain,ES,ESP
Houston,هيوستن,29.7869,-95.3905,United States,US,USA
Ahmadābād,أحمد آباد,23.0301,72.58,India,IN,IND
Ho Chi Minh City,مدينة هو تشي مينه,10.78,106.695,Vietnam,VN,VNM
Washington,واشنطن,38.9047,-77.0163,United States,US,USA
Atlanta,أتلانتا,33.7627,-84.4225,United States,US,USA
Toronto,تورونتو,43.7,-79.42,Canada,CA,CAN
Singapore,سنغافورة,1.293,103.8558,Singapore,SG,SGP
Luanda,لواندا,-8.8383,13.2344,Angola,AO,AGO
Baghdad,بغداد,33.3386,44.3939,Iraq,IQ,IRQ
Barcelona,برشلونة,41.3833,2.1834,Spain,ES,ESP
Hāora,Hāora,22.5804,88.3299,India,IN,IND
Shenyang,شنيانغ,41.805,123.45,China,CN,CHN
Khartoum,الخرطوم,15.5881,32.5342,Sudan,SD,SDN
Pune,بيون,18.53,73.85,India,IN,IND
Boston,بوسطن,42.3188,-71.0846,United States,US,USA
Sydney,سيدني,-33.92,151.1852,Australia,AU,AUS
Saint Petersburg,سان بطرسبورج,59.939,30.316,Russia,RU,RUS
Chittagong,شيتاغونغ,22.33,91.8,Bangladesh,BD,BGD
Dongguan,دونغقوان,23.0489,113.7447,China,CN,CHN
Riyadh,مدينة الرياض,24.6408,46.7727,Saudi Arabia,SA,SAU
Hanoi,هانوي,21.0333,105.85,Vietnam,VN,VNM
Guadalajara,غوادالاخارا,20.67,-103.33,Mexico,MX,MEX
Melbourne,ملبورن,-37.82,144.975,Australia,AU,AUS
Alexandria,الإسكندرية,31.2,29.95,Egypt,EG,EGY
Chengdu,تشنغدو,30.67,104.07,China,CN,CHN
Rangoon,رانغون,16.7834,96.1667,Burma,MM,MMR
Phoenix,عنقاء,33.5722,-112.0891,United States,US,USA
Xi’an,شيان,34.275,108.895,China,CN,CHN
Porto Alegre,بورتو أليغري,-30.05,-51.2,Brazil,BR,BRA
Sūrat,سورة,21.2,72.84,India,IN,IND
Hechi,خهتشى,23.0965,109.6091,China,CN,CHN
Abidjan,أبيدجان,5.32,-4.04,Côte D’Ivoire,CI,CIV
Brasília,برازيليا,-15.7833,-47.9161,Brazil,BR,BRA
Ankara,أنقرة,39.9272,32.8644,Turkey,TR,TUR
Monterrey,مونتيري,25.67,-100.33,Mexico,MX,MEX
Yokohama,يوكوهاما,35.32,139.58,Japan,JP,JPN
Nanjing,نانجينغ,32.05,118.78,China,CN,CHN
Montréal,مونتريال,45.5,-73.5833,Canada,CA,CAN
Guiyang,قوييانغ,26.58,106.72,China,CN,CHN
Recife,ريسيفي,-8.0756,-34.9156,Brazil,BR,BRA
Seattle,سياتل,47.6211,-122.3244,United States,US,USA
Harbin,هاربين,45.75,126.65,China,CN,CHN
San Francisco,سان فرانسيسكو,37.7562,-122.443,United States,US,USA
Fortaleza,فورتاليزا,-3.75,-38.58,Brazil,BR,BRA
Zhangzhou,تشانغتشو,24.5204,117.67,China,CN,CHN
Detroit,ديترويت,42.3834,-83.1024,United States,US,USA
Salvador,سلفادور,-12.97,-38.48,Brazil,BR,BRA
Busan,بوسان,35.0951,129.01,"Korea, South",KR,KOR
Johannesburg,جوهانسبرج,-26.17,28.03,South Africa,ZA,ZAF
Berlin,برلين,52.5218,13.4015,Germany,DE,DEU
Algiers,الجزائر,36.7631,3.0506,Algeria,DZ,DZA
Rome,روما,41.896,12.4833,Italy,IT,ITA
Pyongyang,بيونغ يانغ,39.0194,125.7547,"Korea, North",KP,PRK
Medellín,ميديلين,6.275,-75.575,Colombia,CO,COL
Kabul,كابول,34.5167,69.1833,Afghanistan,AF,AFG
Athens,أثينا,37.9833,23.7333,Greece,GR,GRC
Nagoya,ناغويا,35.155,136.915,Japan,JP,JPN
Cape Town,كيب تاون,-33.92,18.435,South Africa,ZA,ZAF
San Diego,سان دييغو,32.8312,-117.1225,United States,US,USA
Changchun,تشانغتشون,43.865,125.34,China,CN,CHN
Casablanca,الدار البيضاء,33.6,-7.6164,Morocco,MA,MAR
Dalian,داليان,38.9228,121.6298,China,CN,CHN
Cawnpore,Cawnpore,26.46,80.32,India,IN,IND
Kano,كانو,12,8.52,Nigeria,NG,NGA
Tel Aviv-Yafo,تل أبيب-يافا,32.08,34.77,Israel,IL,ISR
Addis Ababa,اديس ابابا,9.0333,38.7,Ethiopia,ET,ETH
Curitiba,كوريتيبا,-25.42,-49.32,Brazil,BR,BRA
Zibo,تسيبو,36.8,118.05,China,CN,CHN
Jeddah,جدة,21.5169,39.2192,Saudi Arabia,SA,SAU
Nairobi,نيروبي,-1.2833,36.8167,Kenya,KE,KEN
Hangzhou,هانغتشو,30.25,120.17,China,CN,CHN
Benoni,بينوني,-26.1496,28.3299,South Africa,ZA,ZAF
Caracas,كاراكاس,10.501,-66.917,Venezuela,VE,VEN
Milan,ميلان,45.47,9.205,Italy,IT,ITA
Stuttgart,شتوتغارت,48.78,9.2,Germany,DE,DEU
Kunming,كونمينغ,25.07,102.68,China,CN,CHN
Dar es Salaam,دار السلام,-6.8,39.2683,Tanzania,TZ,TZA
Minneapolis,مينيابوليس,44.9635,-93.2678,United States,US,USA
Jaipur,جايبور,26.9211,75.81,India,IN,IND
Taiyuan,تاييوان,37.875,112.5451,China,CN,CHN
Frankfurt,فرانكفورت,50.1,8.675,Germany,DE,DEU
Qingdao,تشينغداو,36.09,120.33,China,CN,CHN
Surabaya,سورابايا,-7.2492,112.7508,Indonesia,ID,IDN
Lisbon,لشبونة,38.7227,-9.1449,Portugal,PT,PRT
Tampa,تامبا,27.9942,-82.4451,United States,US,USA
Jinan,جينان,36.675,116.995,China,CN,CHN
Fukuoka,فوكوكا,33.595,130.41,Japan,JP,JPN
Campinas,كامبيناس,-22.9,-47.1,Brazil,BR,BRA
Denver,دنفر,39.7621,-104.8759,United States,US,USA
Kaohsiung,كاوشيونغ,22.6333,120.2666,Taiwan,TW,TWN
Quezon City,مدينة كويزون,14.6504,121.03,Philippines,PH,PHL
Katowice,كاتوفيتشي,50.2604,19.02,Poland,PL,POL
Aleppo,حلب,36.23,37.17,Syria,SY,SYR
Durban,ديربان,-29.865,30.98,South Africa,ZA,ZAF
Kyiv,كييف,50.4334,30.5166,Ukraine,UA,UKR
Lucknow,لكناو,26.855,80.915,India,IN,IND
Giza,الجيزة,30.01,31.19,Egypt,EG,EGY
Zhengzhou,تشنغتشو,34.755,113.6651,China,CN,CHN
Taichung,تايتشونغ,24.1521,120.6817,Taiwan,TW,TWN
Brooklyn,بروكلين,40.6501,-73.9496,United States,US,USA
Ibadan,إيبادان,7.38,3.93,Nigeria,NG,NGA
Faisalabad,فيصل,31.41,73.11,Pakistan,PK,PAK
Fuzhou,فوتشو,26.08,119.3,China,CN,CHN
Changsha,تشانغشا,28.2,112.97,China,CN,CHN
Dakar,داكار,14.7158,-17.4731,Senegal,SN,SEN
İzmir,مدينة ازمير,38.4361,27.1518,Turkey,TR,TUR
Xiangtan,شيانغتان,27.8504,112.9,China,CN,CHN
Lanzhou,لانتشو,36.056,103.792,China,CN,CHN
Incheon,إنتشون,37.4761,126.6422,"Korea, South",KR,KOR
Sapporo,سابورو,43.075,141.34,Japan,JP,JPN
Xiamen,شيامن,24.45,118.08,China,CN,CHN
Guayaquil,غواياكيل,-2.22,-79.92,Ecuador,EC,ECU
George Town,جورج تاون,5.4136,100.3294,Malaysia,MY,MYS
Mashhad,مشهد,36.27,59.57,Iran,IR,IRN
Damascus,دمشق,33.5,36.3,Syria,SY,SYR
Daegu,دايجو,35.8668,128.607,"Korea, South",KR,KOR
Nāgpur,ناجبور,21.17,79.09,India,IN,IND
Lianshan,يان شان,40.7503,120.83,China,CN,CHN
Shijiazhuang,شيجياتشوانغ,38.05,114.48,China,CN,CHN
Tunis,تونس,36.8028,10.1797,Tunisia,TN,TUN
Vienna,فيينا,48.2,16.3666,Austria,AT,AUT
Jilin,جيلين,43.85,126.55,China,CN,CHN
Omdurman,أم درمان,15.6167,32.48,Sudan,SD,SDN
Bandung,باندونغ,-6.95,107.57,Indonesia,ID,IDN
Bekasi,بيكاسي,-6.2173,106.9723,Indonesia,ID,IDN
Mannheim,مانهايم,49.5004,8.47,Germany,DE,DEU
Nanchang,نانتشانغ,28.68,115.88,China,CN,CHN
Wenzhou,ونزهو,28.02,120.6501,China,CN,CHN
Queens,كوينز,40.7498,-73.7976,United States,US,USA
Vancouver,فانكوفر,49.2734,-123.1216,Canada,CA,CAN
Birmingham,برمنغهام,52.475,-1.92,United Kingdom,GB,GBR
Cali,كالي,3.4,-76.5,Colombia,CO,COL
Naples,نابولي,40.84,14.245,Italy,IT,ITA
Sendai,سينداي,38.2871,141.0217,Japan,JP,JPN
Manchester,مانشستر,53.5004,-2.248,United Kingdom,GB,GBR
Puebla,بويبلا,19.05,-98.2,Mexico,MX,MEX
Tripoli,طرابلس,32.8925,13.18,Libya,LY,LBY
Tashkent,طشقند,41.3117,69.2949,Uzbekistan,UZ,UZB
Havana,هافانا,23.132,-82.3642,Cuba,CU,CUB
Gaoping,قاوبينغ,30.7804,106.13,China,CN,CHN
Baltimore,بالتيمور,39.3051,-76.6144,United States,US,USA
Nanning,ناننينغ,22.82,108.32,China,CN,CHN
Belém,بيليم,-1.45,-48.48,Brazil,BR,BRA
Patna,باتنا,25.625,85.13,India,IN,IND
Santo Domingo,سانتو دومينغو,18.4701,-69.9001,Dominican Republic,DO,DOM
Ürümqi,أورومتشي,43.805,87.575,China,CN,CHN
Zaozhuang,تساوتشوانغ,34.88,117.57,China,CN,CHN
Baku,باكو,40.3953,49.8622,Azerbaijan,AZ,AZE
Accra,أكرا,5.55,-0.2167,Ghana,GH,GHA
Yantai,يانتاى,37.5304,121.4,China,CN,CHN
Medan,ميدان,3.58,98.65,Indonesia,ID,IDN
Santa Cruz,سانتا كروز,-17.7539,-63.226,Bolivia,BO,BOL
Tongshan,Tongshan,34.28,117.18,China,CN,CHN
Riverside,ضفة النهر,33.9381,-117.3948,United States,US,USA
Linyi,ليني,35.08,118.33,China,CN,CHN
St. Louis,سانت لويس,38.6358,-90.2451,United States,US,USA
Las Vegas,لاس فيجاس,36.2333,-115.2654,United States,US,USA
Maracaibo,ماراكايبو,10.73,-71.66,Venezuela,VE,VEN
Kuwait City,مدينة الكويت,29.3697,47.9783,Kuwait,KW,KWT
Ad Dammām,الدمام,26.4282,50.0997,Saudi Arabia,SA,SAU
Portland,بورتلاند,45.5371,-122.65,United States,US,USA
Haikou,هايكو,20.05,110.32,China,CN,CHN
Hiroshima,هيروشيما,34.3878,132.4429,Japan,JP,JPN
Baotou,باوتو,40.6522,109.822,China,CN,CHN
Hefei,خفى,31.85,117.28,China,CN,CHN
Indore,اندور,22.7151,75.865,India,IN,IND
Goiânia,غويانيا,-16.72,-49.3,Brazil,BR,BRA
Sanaa,صنعاء,15.3547,44.2066,Yemen,YE,YEM
San Antonio,سان أنطونيو,29.4658,-98.5254,United States,US,USA
Port-au-Prince,بورت أو برنس,18.541,-72.336,Haiti,HT,HTI
Haiphong,هايفونغ,20.83,106.6801,Vietnam,VN,VNM
Suzhou,سوتشو,33.6361,116.9789,China,CN,CHN
Nanyang,نانيانغ,33.0004,112.53,China,CN,CHN
Bucharest,بوخارست,44.4334,26.0999,Romania,RO,ROU
Ningbo,نينغبو,29.88,121.55,China,CN,CHN
Douala,دوالا,4.0604,9.71,Cameroon,CM,CMR
Tangshan,تانغشان,39.6243,118.1944,China,CN,CHN
Tainan,تاينان,23,120.2,Taiwan,TW,TWN
Xiping,شي بينغ,40.08,113.3,China,CN,CHN
Asunción,أسونسيون,-25.2964,-57.6415,Paraguay,PY,PRY
Saidu Sharif,سيدو شريف,34.75,72.35,Pakistan,PK,PAK
Brisbane,بريسبان,-27.455,153.0351,Australia,AU,AUS
Rawalpindi,روالبندي,33.6,73.04,Pakistan,PK,PAK
Sacramento,سكرامنتو,38.5667,-121.4683,United States,US,USA
Beirut,بيروت,33.872,35.5097,Lebanon,LB,LBN
San Jose,سان خوسيه,37.3021,-121.8489,United States,US,USA
Minsk,مينسك,53.9,27.5666,Belarus,BY,BLR
Kyōto,كيوتو,35.03,135.75,Japan,JP,JPN
Barranquilla,بارانكويلا,10.96,-74.8,Colombia,CO,COL
Orlando,أورلاندو,28.4772,-81.3369,United States,US,USA
Shuyangzha,Shuyangzha,34.1299,118.7734,China,CN,CHN
Valencia,فالنسيا,10.23,-67.98,Venezuela,VE,VEN
Hamburg,هامبورغ,53.55,10,Germany,DE,DEU
Vadodara,فادودارا,22.31,73.18,India,IN,IND
Manaus,ماناوس,-3.1,-60,Brazil,BR,BRA
Shangqiu,شانغكيو,34.4504,115.65,China,CN,CHN
Wuxi,وشى,31.58,120.3,China,CN,CHN
Palembang,باليمبانج,-2.98,104.75,Indonesia,ID,IDN
Brussels,بروكسل,50.8333,4.3333,Belgium,BE,BEL
Essen,ايسن,51.45,7.0166,Germany,DE,DEU
Cleveland,كليفلاند,41.4767,-81.6805,United States,US,USA
Bhopal,بوبال,23.25,77.41,India,IN,IND
Hohhot,هوهيهوت,40.82,111.66,China,CN,CHN
Pittsburgh,بيتسبرغ,40.4396,-79.9763,United States,US,USA
Luoyang,لويانغ,34.68,112.4701,China,CN,CHN
Santos,سانتوس,-23.9537,-46.3329,Brazil,BR,BRA
Jingling,الجلجلة,30.6501,113.16,China,CN,CHN
Warsaw,وارسو,52.25,21,Poland,PL,POL
Rabat,الرباط,34.0253,-6.8361,Morocco,MA,MAR
Vitória,فيتوريا,-20.324,-40.366,Brazil,BR,BRA
Quito,كيتو,-0.215,-78.5001,Ecuador,EC,ECU
Antananarivo,أنتاناناريفو,-18.9166,47.5166,Madagascar,MG,MDG
Coimbatore,كويمباتور,11,76.95,India,IN,IND
Daqing,داتشينغ,46.58,125,China,CN,CHN
Lu’an,Lu'an,31.7503,116.48,China,CN,CHN
Sanzhou,Sanzhou,30.82,108.4,China,CN,CHN
Budapest,بودابست,47.5,19.0833,Hungary,HU,HUN
Turin,تورينو,45.0704,7.67,Italy,IT,ITA
Suzhou,سوتشو,31.3005,120.62,China,CN,CHN
Ludhiāna,لوديانا,30.9278,75.8723,India,IN,IND
Cincinnati,سينسيناتي,39.1412,-84.506,United States,US,USA
Kumasi,كوماسي,6.69,-1.63,Ghana,GH,GHA
Manhattan,مانهاتن,40.7834,-73.9662,United States,US,USA
Qiqihar,تشيتشيهار,47.345,123.99,China,CN,CHN
Anshan,آنشان,41.115,122.94,China,CN,CHN
Austin,أوستين,30.3006,-97.7517,United States,US,USA
Zhongli,تشونغ لي,24.965,121.2168,Taiwan,TW,TWN
Handan,هاندان,36.58,114.48,China,CN,CHN
Tai’an,تايآن,36.2,117.1201,China,CN,CHN
Eşfahān,أصفهان,32.7,51.7,Iran,IR,IRN
Kansas City,مدينة كانساس,39.1239,-94.5541,United States,US,USA
Yaoundé,ياوندي,3.8667,11.5167,Cameroon,CM,CMR
Shantou,شانتو,23.37,116.67,China,CN,CHN
Āgra,أغرا,27.1704,78.015,India,IN,IND
Zhanjiang,تشانجيانغ,21.2,110.38,China,CN,CHN
La Paz,لاباز,-16.498,-68.15,Bolivia,BO,BOL
Kalyān,كاليان,19.2502,73.1602,India,IN,IND
Abuja,أبوجا,9.0833,7.5333,Nigeria,NG,NGA
Harare,هراري,-17.8178,31.0447,Zimbabwe,ZW,ZWE
Indianapolis,انديانابوليس,39.7771,-86.1458,United States,US,USA
Xiantao,إكسيانتاو,30.3704,113.44,China,CN,CHN
Khulna,خولنا,22.84,89.56,Bangladesh,BD,BGD
Weifang,يفانغ,36.7204,119.1001,China,CN,CHN
Tijuana,تيخوانا,32.5,-117.08,Mexico,MX,MEX
Santiago,سانتياغو,19.5,-70.67,Dominican Republic,DO,DOM
Xinyang,اكسينيانج,32.1304,114.07,China,CN,CHN
Luzhou,لوتشو,28.88,105.38,China,CN,CHN
Perth,بيرث,-31.955,115.84,Australia,AU,AUS
Toluca,تولوكا,19.3304,-99.67,Mexico,MX,MEX
Vishākhapatnam,فيشاخاباتنام,17.73,83.305,India,IN,IND
Leeds,ليدز,53.83,-1.58,United Kingdom,GB,GBR
Kōbe,كوبي,34.68,135.17,Japan,JP,JPN
Columbus,كولومبوس,39.986,-82.9851,United States,US,USA
Multan,مولتان,30.2,71.455,Pakistan,PK,PAK
Kochi,كوتشي,10.015,76.2239,India,IN,IND
Montevideo,مونتيفيديو,-34.858,-56.1711,Uruguay,UY,URY
Gujranwala,جوجرانوالا,32.1604,74.185,Pakistan,PK,PAK
Niterói,نيتيروي,-22.9,-43.1,Brazil,BR,BRA
Ganzhou,قانتشو,25.92,114.95,China,CN,CHN
Florence,فلورنسا,43.78,11.25,Italy,IT,ITA
Liuzhou,يوتشو,24.28,109.25,China,CN,CHN
Bamako,باماكو,12.65,-8,Mali,ML,MLI
Conakry,كوناكري,9.5315,-13.6802,Guinea,GN,GIN
Bursa,بورصة,40.2,29.07,Turkey,TR,TUR
León de los Aldama,ليون دي لوس الداما,21.15,-101.7,Mexico,MX,MEX
Virginia Beach,شاطئ فرجينيا,36.7335,-76.0435,United States,US,USA
Nāsik,ناسيك,20.0004,73.78,India,IN,IND
Fushun,فاشن,41.8654,123.87,China,CN,CHN
Changde,تشانغده,29.03,111.68,China,CN,CHN
Daejeon,دايجون,36.3355,127.425,"Korea, South",KR,KOR
Charlotte,شارلوت,35.2079,-80.8304,United States,US,USA
Phnom Penh,بنوم بنه,11.55,104.9166,Cambodia,KH,KHM
Neijiang,نيجيانج,29.5804,105.05,China,CN,CHN
Quanzhou,تشيوانتشو,24.9,118.58,China,CN,CHN
Kharkiv,خاركيف,50,36.25,Ukraine,UA,UKR
Hyderabad City,مدينة حيدر أباد,25.38,68.375,Pakistan,PK,PAK
Bronx,برونكس,40.8501,-73.8662,United States,US,USA
Lomé,لومي,6.1319,1.2228,Togo,TG,TGO
Córdoba,قرطبة,-31.4,-64.1823,Argentina,AR,ARG
Huainan,هواينان,32.63,116.98,China,CN,CHN
Doha,الدوحة,25.2866,51.533,Qatar,QA,QAT
Kuala Lumpur,كوالا لامبور,3.1667,101.7,Malaysia,MY,MYS
Maputo,مابوتو,-25.9553,32.5892,Mozambique,MZ,MOZ
Kaduna,كادونا,10.52,7.44,Nigeria,NG,NGA
Gwangju,غوانغجو,35.171,126.9104,"Korea, South",KR,KOR
Kawanakajima,Kawanakajima,35.53,139.705,Japan,JP,JPN
San Salvador,سان سلفادور,13.71,-89.203,El Salvador,SV,SLV
Suining,سوينينغ,30.5333,105.5333,China,CN,CHN
Lyon,ليون,45.77,4.83,France,FR,FRA
Karaj,كرج,35.8004,50.97,Iran,IR,IRN
Kampala,كمبالا,0.3167,32.5833,Uganda,UG,UGA
Tabrīz,تبريز,38.0863,46.3012,Iran,IR,IRN
The Hague,لاهاي,52.08,4.27,Netherlands,NL,NLD
Davao,دافاو,7.11,125.63,Philippines,PH,PHL
Marseille,مرسيليا,43.29,5.375,France,FR,FRA
Meerut,ميروت,29.0004,77.7,India,IN,IND
Mianyang,ميانيانغ,31.47,104.77,China,CN,CHN
Semarang,سيمارانج,-6.9666,110.42,Indonesia,ID,IDN
Farīdābād,فريداباد,28.4333,77.3167,India,IN,IND
Novosibirsk,نوفوسيبيرسك,55.03,82.96,Russia,RU,RUS
Mecca,مكة المكرمة,21.43,39.82,Saudi Arabia,SA,SAU
Dubai,دبي,25.23,55.28,United Arab Emirates,AE,ARE
Milwaukee,ميلووكي,43.0642,-87.9673,United States,US,USA
Auckland,أوكلاند,-36.8481,174.763,New Zealand,NZ,NZL
Ma’anshan,ماانشان,31.7304,118.48,China,CN,CHN
Brazzaville,برازافيل,-4.2592,15.2847,Congo (Brazzaville),CG,COG
Yiyang,يييانغ,28.6004,112.33,China,CN,CHN
Vārānasi,فاراناسي,25.33,83,India,IN,IND
Lubumbashi,لوبومباشي,-11.68,27.48,Congo (Kinshasa),CD,COD
Juárez,خواريز,31.6904,-106.49,Mexico,MX,MEX
Ghāziābād,غازي,28.6604,77.4084,India,IN,IND
Pretoria,بريتوريا,-25.7069,28.2294,South Africa,ZA,ZAF
Heze,هيزي,35.23,115.45,China,CN,CHN
Porto,بورتو,41.15,-8.62,Portugal,PT,PRT
Āsansol,أسانسول,23.6833,86.9833,India,IN,IND
Lusaka,لوساكا,-15.4166,28.2833,Zambia,ZM,ZMB
Changzhou,تشانغتشو,31.78,119.97,China,CN,CHN
Mosul,الموصل,36.345,43.145,Iraq,IQ,IRQ
Yekaterinburg,يكاترينبورغ,56.85,60.6,Russia,RU,RUS
Peshawar,بيشاور,34.005,71.535,Pakistan,PK,PAK
Mandalay,ماندالاي,21.97,96.085,Burma,MM,MMR
Jamshedpur,جمشيدبور,22.7875,86.1975,India,IN,IND
Mbuji-Mayi,مبوجيمايي,-6.15,23.6,Congo (Kinshasa),CD,COD
Madura,مادورا,9.92,78.12,India,IN,IND
Adana,أضنة,36.995,35.32,Turkey,TR,TUR
Sheffield,شيفيلد,53.3667,-1.5,United Kingdom,GB,GBR
Jabalpur,جابالبور,23.1751,79.9551,India,IN,IND
San José,سان خوسيه,9.935,-84.0841,Costa Rica,CR,CRI
Panama City,مدينة باناما,8.968,-79.533,Panama,PA,PAN
Nizhniy Novgorod,نيجني نوفغورود,56.333,44.0001,Russia,RU,RUS
Chifeng,تشيفنغ,42.27,118.95,China,CN,CHN
Duisburg,دويسبورغ,51.43,6.75,Germany,DE,DEU
Munich,ميونيخ,48.1299,11.575,Germany,DE,DEU
Huaiyin,هواييان,33.58,119.03,China,CN,CHN
Stockholm,ستوكهولم,59.3508,18.0973,Sweden,SE,SWE
Makassar,ماكاسار,-5.14,119.432,Indonesia,ID,IDN
Rājkot,راجكوت,22.31,70.8,India,IN,IND
Dhanbād,دانباد,23.8004,86.42,India,IN,IND
Mudanjiang,مودانجيانغ,44.575,129.59,China,CN,CHN
Geneva,جنيف,46.21,6.14,Switzerland,CH,CHE
Shīrāz,شيراز,29.63,52.57,Iran,IR,IRN
Huzhou,هوتشو,30.8704,120.1,China,CN,CHN
Beidao,Beidao,34.6,105.92,China,CN,CHN
Shuangshui,Shuangshui,26.5944,104.8333,China,CN,CHN
Düsseldorf,دوسلدورف,51.2204,6.78,Germany,DE,DEU
Gaozhou,جوجو,21.9204,110.87,China,CN,CHN
Sevilla,اشبيلية,37.405,-5.98,Spain,ES,ESP
Amritsar,امريتسار,31.64,74.87,India,IN,IND
Vila Velha,فيلا فيلا,-20.3676,-40.318,Brazil,BR,BRA
Vila Velha,فيلا فيلا,3.2167,-51.2167,Brazil,BR,BRA
Almaty,ألماتي,43.325,76.915,Kazakhstan,KZ,KAZ
Providence,العناية الإلهية,41.823,-71.4187,United States,US,USA
Warangal,ارانجال,18.01,79.58,India,IN,IND
Rosario,روزاريو,-32.9511,-60.6663,Argentina,AR,ARG
Allahābād,الله أباد,25.455,81.84,India,IN,IND
Benin City,مدينة بنين,6.3405,5.62,Nigeria,NG,NGA
Jining,جينينغ,35.4004,116.55,China,CN,CHN
Maceió,ماسايو,-9.62,-35.73,Brazil,BR,BRA
Sofia,صوفيا,42.6833,23.3167,Bulgaria,BG,BGR
Abbottabad,أبوت,34.1495,73.1995,Pakistan,PK,PAK
Benghazi,بنغازي,32.1167,20.0667,Libya,LY,LBY
Cilacap,سيلاكاب,-7.7188,109.0154,Indonesia,ID,IDN
Prague,براغ,50.0833,14.466,Czechia,CZ,CZE
Glasgow,غلاسكو,55.8744,-4.2507,United Kingdom,GB,GBR
Leshan,يشان,29.5671,103.7333,China,CN,CHN
Jacksonville,جاكسونفيل,30.3322,-81.6749,United States,US,USA
Ouagadougou,واغادوغو,12.3703,-1.5247,Burkina Faso,BF,BFA
Ottawa,أوتاوا,45.4167,-75.7,Canada,CA,CAN
Adelaide,أديليد,-34.935,138.6,Australia,AU,AUS
Shangrao,شانغراو,28.4704,117.97,China,CN,CHN
Torreón,توريون,25.5701,-103.42,Mexico,MX,MEX
Srīnagar,سريناجار,34.1,74.815,India,IN,IND
Bezwāda,Bezwāda,16.52,80.63,India,IN,IND
Samara,الثمرة الجناحية,53.195,50.1513,Russia,RU,RUS
Omsk,أومسك,54.99,73.4,Russia,RU,RUS
Newcastle,نيوكاسل,-32.8453,151.815,Australia,AU,AUS
Yulin,يولين,22.63,110.15,China,CN,CHN
Namp’o,Namp'o,38.7669,125.4524,"Korea, North",KP,PRK
Xianyang,شيانيانغ,34.3456,108.7147,China,CN,CHN
Cagayan de Oro,كاجايان دي أورو,8.4508,124.6853,Philippines,PH,PHL
Cần Thơ,كان ثو,10.05,105.77,Vietnam,VN,VNM
Barquisimeto,باركيسيميتو,10.05,-69.3,Venezuela,VE,VEN
